away,awayScore,date,gamePk,gameType,home,homeScore,season
Boston Bruins,4,2018-09-15,2018010001,PR,Calgary Flames,3,20182019
Washington Capitals,1,2018-09-16,2018010002,PR,Boston Bruins,2,20182019
Philadelphia Flyers,0,2018-09-16,2018010003,PR,New York Islanders,3,20182019
Arizona Coyotes,2,2018-09-16,2018010004,PR,Vegas Golden Knights,7,20182019
Nashville Predators,5,2018-09-17,2018010005,PR,Florida Panthers,0,20182019
Buffalo Sabres,4,2018-09-17,2018010006,PR,Columbus Blue Jackets,1,20182019
Nashville Predators,5,2018-09-17,2018010007,PR,Florida Panthers,3,20182019
New York Rangers,4,2018-09-17,2018010008,PR,New Jersey Devils,3,20182019
New York Islanders,1,2018-09-17,2018010009,PR,Philadelphia Flyers,3,20182019
New Jersey Devils,1,2018-09-17,2018010010,PR,Montréal Canadiens,3,20182019
Minnesota Wild,1,2018-09-17,2018010011,PR,Winnipeg Jets,2,20182019
Edmonton Oilers,7,2018-09-17,2018010012,PR,Calgary Flames,4,20182019
Pittsburgh Penguins,2,2018-09-18,2018010013,PR,Buffalo Sabres,3,20182019
Chicago Blackhawks,1,2018-09-18,2018010014,PR,Columbus Blue Jackets,4,20182019
Philadelphia Flyers,5,2018-09-18,2018010015,PR,New York Islanders,1,20182019
Boston Bruins,5,2018-09-18,2018010016,PR,Washington Capitals,2,20182019
Carolina Hurricanes,4,2018-09-18,2018010017,PR,Tampa Bay Lightning,1,20182019
Ottawa Senators,1,2018-09-18,2018010018,PR,Toronto Maple Leafs,4,20182019
St. Louis Blues,3,2018-09-18,2018010019,PR,Dallas Stars,5,20182019
Vegas Golden Knights,5,2018-09-18,2018010020,PR,Colorado Avalanche,1,20182019
Los Angeles Kings,2,2018-09-18,2018010021,PR,Arizona Coyotes,4,20182019
Arizona Coyotes,4,2018-09-18,2018010022,PR,Los Angeles Kings,3,20182019
Anaheim Ducks,1,2018-09-18,2018010023,PR,San Jose Sharks,4,20182019
Edmonton Oilers,4,2018-09-18,2018010024,PR,Vancouver Canucks,2,20182019
Calgary Flames,1,2018-09-19,2018010025,PR,Boston Bruins,3,20182019
Tampa Bay Lightning,1,2018-09-19,2018010026,PR,Carolina Hurricanes,6,20182019
Philadelphia Flyers,6,2018-09-19,2018010027,PR,New York Rangers,4,20182019
Pittsburgh Penguins,2,2018-09-19,2018010028,PR,Detroit Red Wings,3,20182019
Florida Panthers,5,2018-09-19,2018010029,PR,Montréal Canadiens,2,20182019
Toronto Maple Leafs,4,2018-09-19,2018010030,PR,Ottawa Senators,1,20182019
St. Louis Blues,3,2018-09-19,2018010031,PR,Minnesota Wild,2,20182019
Calgary Flames,4,2018-09-19,2018010032,PR,Vancouver Canucks,1,20182019
Washington Capitals,2,2018-09-20,2018010033,PR,Montréal Canadiens,5,20182019
New Jersey Devils,0,2018-09-20,2018010034,PR,New York Islanders,2,20182019
Chicago Blackhawks,2,2018-09-20,2018010035,PR,Detroit Red Wings,4,20182019
Dallas Stars,3,2018-09-20,2018010036,PR,Minnesota Wild,1,20182019
Winnipeg Jets,3,2018-09-20,2018010037,PR,Edmonton Oilers,7,20182019
San Jose Sharks,7,2018-09-20,2018010038,PR,Anaheim Ducks,3,20182019
Los Angeles Kings,3,2018-09-20,2018010039,PR,Vancouver Canucks,4,20182019
Vegas Golden Knights,7,2018-09-20,2018010040,PR,Los Angeles Kings,2,20182019
New York Islanders,3,2018-09-21,2018010041,PR,Philadelphia Flyers,2,20182019
Washington Capitals,1,2018-09-21,2018010042,PR,Carolina Hurricanes,5,20182019
Chicago Blackhawks,5,2018-09-21,2018010043,PR,Ottawa Senators,2,20182019
Buffalo Sabres,3,2018-09-21,2018010044,PR,Toronto Maple Leafs,5,20182019
Tampa Bay Lightning,5,2018-09-21,2018010045,PR,Nashville Predators,1,20182019
Columbus Blue Jackets,0,2018-09-21,2018010046,PR,St. Louis Blues,3,20182019
Calgary Flames,3,2018-09-21,2018010047,PR,Winnipeg Jets,4,20182019
Columbus Blue Jackets,3,2018-09-22,2018010048,PR,Pittsburgh Penguins,7,20182019
Colorado Avalanche,0,2018-09-22,2018010049,PR,Minnesota Wild,7,20182019
Toronto Maple Leafs,3,2018-09-22,2018010050,PR,Buffalo Sabres,2,20182019
Boston Bruins,3,2018-09-22,2018010051,PR,Detroit Red Wings,4,20182019
Ottawa Senators,2,2018-09-22,2018010052,PR,Montréal Canadiens,3,20182019
New York Rangers,2,2018-09-22,2018010053,PR,New York Islanders,5,20182019
Nashville Predators,2,2018-09-22,2018010054,PR,Tampa Bay Lightning,5,20182019
Florida Panthers,4,2018-09-22,2018010055,PR,Dallas Stars,3,20182019
Anaheim Ducks,1,2018-09-22,2018010056,PR,Arizona Coyotes,6,20182019
Vancouver Canucks,2,2018-09-22,2018010057,PR,Calgary Flames,5,20182019
Vegas Golden Knights,5,2018-09-22,2018010058,PR,San Jose Sharks,4,20182019
St. Louis Blues,5,2018-09-23,2018010059,PR,Columbus Blue Jackets,1,20182019
Detroit Red Wings,3,2018-09-23,2018010060,PR,Pittsburgh Penguins,2,20182019
Edmonton Oilers,3,2018-09-23,2018010061,PR,Winnipeg Jets,5,20182019
New Jersey Devils,3,2018-09-24,2018010062,PR,New York Rangers,4,20182019
Boston Bruins,4,2018-09-24,2018010063,PR,Philadelphia Flyers,3,20182019
Montréal Canadiens,5,2018-09-24,2018010064,PR,Toronto Maple Leafs,1,20182019
Minnesota Wild,3,2018-09-24,2018010065,PR,Dallas Stars,5,20182019
Winnipeg Jets,5,2018-09-24,2018010066,PR,Calgary Flames,4,20182019
Vancouver Canucks,1,2018-09-24,2018010067,PR,Los Angeles Kings,4,20182019
Arizona Coyotes,2,2018-09-24,2018010068,PR,Anaheim Ducks,4,20182019
Colorado Avalanche,5,2018-09-24,2018010069,PR,Vegas Golden Knights,3,20182019
Columbus Blue Jackets,3,2018-09-25,2018010070,PR,Buffalo Sabres,2,20182019
Florida Panthers,3,2018-09-25,2018010071,PR,Tampa Bay Lightning,2,20182019
Carolina Hurricanes,4,2018-09-25,2018010072,PR,Nashville Predators,1,20182019
Washington Capitals,4,2018-09-25,2018010073,PR,St. Louis Blues,0,20182019
Detroit Red Wings,8,2018-09-25,2018010074,PR,Chicago Blackhawks,6,20182019
San Jose Sharks,5,2018-09-25,2018010075,PR,Calgary Flames,7,20182019
Vancouver Canucks,0,2018-09-25,2018010076,PR,Edmonton Oilers,6,20182019
Detroit Red Wings,3,2018-09-26,2018010077,PR,Boston Bruins,2,20182019
New York Islanders,4,2018-09-26,2018010078,PR,New York Rangers,3,20182019
Buffalo Sabres,1,2018-09-26,2018010079,PR,Pittsburgh Penguins,5,20182019
Toronto Maple Leafs,5,2018-09-26,2018010080,PR,Montréal Canadiens,3,20182019
Winnipeg Jets,3,2018-09-26,2018010081,PR,Minnesota Wild,4,20182019
Dallas Stars,3,2018-09-26,2018010082,PR,Colorado Avalanche,1,20182019
Los Angeles Kings,4,2018-09-26,2018010083,PR,Anaheim Ducks,7,20182019
New York Rangers,4,2018-09-27,2018010084,PR,Philadelphia Flyers,2,20182019
Florida Panthers,2,2018-09-27,2018010085,PR,Tampa Bay Lightning,6,20182019
New Jersey Devils,5,2018-09-27,2018010086,PR,Winnipeg Jets,3,20182019
Ottawa Senators,2,2018-09-27,2018010087,PR,Chicago Blackhawks,1,20182019
Arizona Coyotes,2,2018-09-27,2018010088,PR,Edmonton Oilers,3,20182019
Calgary Flames,4,2018-09-27,2018010089,PR,San Jose Sharks,3,20182019
Pittsburgh Penguins,6,2018-09-28,2018010090,PR,Columbus Blue Jackets,7,20182019
Buffalo Sabres,5,2018-09-28,2018010091,PR,New York Islanders,4,20182019
Carolina Hurricanes,5,2018-09-28,2018010092,PR,Washington Capitals,4,20182019
Detroit Red Wings,2,2018-09-28,2018010093,PR,Toronto Maple Leafs,6,20182019
Dallas Stars,1,2018-09-28,2018010094,PR,St. Louis Blues,3,20182019
Minnesota Wild,3,2018-09-28,2018010095,PR,Colorado Avalanche,4,20182019
Los Angeles Kings,0,2018-09-28,2018010096,PR,Vegas Golden Knights,2,20182019
Calgary Flames,3,2018-09-29,2018010097,PR,Edmonton Oilers,4,20182019
Philadelphia Flyers,4,2018-09-29,2018010098,PR,Boston Bruins,1,20182019
Toronto Maple Leafs,1,2018-09-29,2018010099,PR,Detroit Red Wings,5,20182019
Tampa Bay Lightning,3,2018-09-29,2018010100,PR,Florida Panthers,2,20182019
Montréal Canadiens,0,2018-09-29,2018010101,PR,Ottawa Senators,3,20182019
Columbus Blue Jackets,1,2018-09-29,2018010102,PR,Chicago Blackhawks,4,20182019
Arizona Coyotes,4,2018-09-29,2018010103,PR,Vancouver Canucks,1,20182019
Anaheim Ducks,3,2018-09-29,2018010104,PR,Los Angeles Kings,0,20182019
Nashville Predators,5,2018-09-30,2018010105,PR,Carolina Hurricanes,4,20182019
St. Louis Blues,2,2018-09-30,2018010106,PR,Washington Capitals,5,20182019
Colorado Avalanche,6,2018-09-30,2018010107,PR,Dallas Stars,5,20182019
San Jose Sharks,2,2018-09-30,2018010108,PR,Vegas Golden Knights,5,20182019
New Jersey Devils,3,2018-10-01,2018010109,PR,Bern Sc Bern,2,20182019
Edmonton Oilers,4,2018-10-03,2018010110,PR,Koln Haie,3,20182019
Montréal Canadiens,2,2018-10-03,2018020001,R,Toronto Maple Leafs,3,20182019
Boston Bruins,0,2018-10-03,2018020002,R,Washington Capitals,7,20182019
Calgary Flames,2,2018-10-03,2018020003,R,Vancouver Canucks,5,20182019
Anaheim Ducks,5,2018-10-03,2018020004,R,San Jose Sharks,2,20182019
Boston Bruins,4,2018-10-04,2018020005,R,Buffalo Sabres,0,20182019
Washington Capitals,6,2018-10-04,2018020007,R,Pittsburgh Penguins,7,20182019
New York Islanders,2,2018-10-04,2018020008,R,Carolina Hurricanes,1,20182019
Nashville Predators,3,2018-10-04,2018020006,R,New York Rangers,2,20182019
Chicago Blackhawks,4,2018-10-04,2018020009,R,Ottawa Senators,3,20182019
Columbus Blue Jackets,3,2018-10-04,2018020010,R,Detroit Red Wings,2,20182019
Winnipeg Jets,5,2018-10-04,2018020011,R,St. Louis Blues,1,20182019
Arizona Coyotes,0,2018-10-04,2018020012,R,Dallas Stars,3,20182019
Minnesota Wild,1,2018-10-04,2018020013,R,Colorado Avalanche,4,20182019
Philadelphia Flyers,5,2018-10-04,2018020014,R,Vegas Golden Knights,2,20182019
Carolina Hurricanes,3,2018-10-05,2018020015,R,Columbus Blue Jackets,1,20182019
San Jose Sharks,3,2018-10-05,2018020016,R,Los Angeles Kings,2,20182019
Edmonton Oilers,2,2018-10-06,2018020020,R,New Jersey Devils,5,20182019
New York Rangers,1,2018-10-06,2018020017,R,Buffalo Sabres,3,20182019
Ottawa Senators,5,2018-10-06,2018020018,R,Toronto Maple Leafs,3,20182019
Florida Panthers,1,2018-10-06,2018020019,R,Tampa Bay Lightning,2,20182019
Nashville Predators,4,2018-10-06,2018020021,R,New York Islanders,3,20182019
Montréal Canadiens,5,2018-10-06,2018020022,R,Pittsburgh Penguins,1,20182019
Winnipeg Jets,1,2018-10-06,2018020023,R,Dallas Stars,5,20182019
Chicago Blackhawks,5,2018-10-06,2018020024,R,St. Louis Blues,4,20182019
Vegas Golden Knights,2,2018-10-06,2018020025,R,Minnesota Wild,1,20182019
Philadelphia Flyers,2,2018-10-06,2018020026,R,Colorado Avalanche,5,20182019
Anaheim Ducks,1,2018-10-06,2018020027,R,Arizona Coyotes,0,20182019
Vancouver Canucks,4,2018-10-06,2018020028,R,Calgary Flames,7,20182019
New York Rangers,5,2018-10-07,2018020029,R,Carolina Hurricanes,8,20182019
Toronto Maple Leafs,7,2018-10-07,2018020030,R,Chicago Blackhawks,6,20182019
Detroit Red Wings,2,2018-10-07,2018020031,R,Los Angeles Kings,4,20182019
Ottawa Senators,3,2018-10-08,2018020032,R,Boston Bruins,6,20182019
San Jose Sharks,0,2018-10-08,2018020033,R,New York Islanders,4,20182019
Vegas Golden Knights,2,2018-10-08,2018020034,R,Buffalo Sabres,4,20182019
Detroit Red Wings,2,2018-10-08,2018020035,R,Anaheim Ducks,3,20182019
San Jose Sharks,8,2018-10-09,2018020036,R,Philadelphia Flyers,2,20182019
Vancouver Canucks,3,2018-10-09,2018020037,R,Carolina Hurricanes,5,20182019
Colorado Avalanche,2,2018-10-09,2018020038,R,Columbus Blue Jackets,5,20182019
Calgary Flames,3,2018-10-09,2018020039,R,Nashville Predators,0,20182019
Los Angeles Kings,1,2018-10-09,2018020040,R,Winnipeg Jets,2,20182019
Toronto Maple Leafs,7,2018-10-09,2018020041,R,Dallas Stars,4,20182019
Philadelphia Flyers,7,2018-10-10,2018020042,R,Ottawa Senators,4,20182019
Vegas Golden Knights,2,2018-10-10,2018020043,R,Washington Capitals,5,20182019
Arizona Coyotes,3,2018-10-10,2018020044,R,Anaheim Ducks,2,20182019
Edmonton Oilers,1,2018-10-11,2018020045,R,Boston Bruins,4,20182019
Colorado Avalanche,6,2018-10-11,2018020046,R,Buffalo Sabres,1,20182019
Columbus Blue Jackets,5,2018-10-11,2018020047,R,Florida Panthers,4,20182019
Washington Capitals,0,2018-10-11,2018020048,R,New Jersey Devils,6,20182019
San Jose Sharks,2,2018-10-11,2018020049,R,New York Rangers,3,20182019
Vegas Golden Knights,2,2018-10-11,2018020050,R,Pittsburgh Penguins,4,20182019
Los Angeles Kings,3,2018-10-11,2018020051,R,Montréal Canadiens,0,20182019
Toronto Maple Leafs,5,2018-10-11,2018020052,R,Detroit Red Wings,3,20182019
Vancouver Canucks,4,2018-10-11,2018020053,R,Tampa Bay Lightning,1,20182019
Calgary Flames,3,2018-10-11,2018020054,R,St. Louis Blues,5,20182019
Winnipeg Jets,0,2018-10-11,2018020055,R,Nashville Predators,3,20182019
Chicago Blackhawks,3,2018-10-11,2018020056,R,Minnesota Wild,4,20182019
Edmonton Oilers,0,2018-10-13,2018020057,R,New York Rangers,0,20182019
Vegas Golden Knights,0,2018-10-13,2018020058,R,Philadelphia Flyers,0,20182019
Los Angeles Kings,0,2018-10-13,2018020059,R,Ottawa Senators,0,20182019
Detroit Red Wings,0,2018-10-13,2018020061,R,Boston Bruins,0,20182019
Carolina Hurricanes,0,2018-10-13,2018020060,R,Minnesota Wild,0,20182019
Pittsburgh Penguins,0,2018-10-13,2018020062,R,Montréal Canadiens,0,20182019
Columbus Blue Jackets,0,2018-10-13,2018020063,R,Tampa Bay Lightning,0,20182019
Vancouver Canucks,0,2018-10-13,2018020064,R,Florida Panthers,0,20182019
Toronto Maple Leafs,0,2018-10-13,2018020065,R,Washington Capitals,0,20182019
New York Islanders,0,2018-10-13,2018020066,R,Nashville Predators,0,20182019
Anaheim Ducks,0,2018-10-13,2018020067,R,Dallas Stars,0,20182019
St. Louis Blues,0,2018-10-13,2018020068,R,Chicago Blackhawks,0,20182019
Buffalo Sabres,0,2018-10-13,2018020069,R,Arizona Coyotes,0,20182019
Calgary Flames,0,2018-10-13,2018020070,R,Colorado Avalanche,0,20182019
San Jose Sharks,0,2018-10-14,2018020071,R,New Jersey Devils,0,20182019
Anaheim Ducks,0,2018-10-14,2018020072,R,St. Louis Blues,0,20182019
Carolina Hurricanes,0,2018-10-14,2018020073,R,Winnipeg Jets,0,20182019
Los Angeles Kings,0,2018-10-15,2018020074,R,Toronto Maple Leafs,0,20182019
Detroit Red Wings,0,2018-10-15,2018020075,R,Montréal Canadiens,0,20182019
Dallas Stars,0,2018-10-15,2018020076,R,Ottawa Senators,0,20182019
Minnesota Wild,0,2018-10-15,2018020077,R,Nashville Predators,0,20182019
Dallas Stars,0,2018-10-16,2018020078,R,New Jersey Devils,0,20182019
Colorado Avalanche,0,2018-10-16,2018020079,R,New York Rangers,0,20182019
Florida Panthers,0,2018-10-16,2018020080,R,Philadelphia Flyers,0,20182019
Vancouver Canucks,0,2018-10-16,2018020081,R,Pittsburgh Penguins,0,20182019
Carolina Hurricanes,0,2018-10-16,2018020082,R,Tampa Bay Lightning,0,20182019
Arizona Coyotes,0,2018-10-16,2018020083,R,Minnesota Wild,0,20182019
Edmonton Oilers,0,2018-10-16,2018020084,R,Winnipeg Jets,0,20182019
Buffalo Sabres,0,2018-10-16,2018020085,R,Vegas Golden Knights,0,20182019
St. Louis Blues,0,2018-10-17,2018020086,R,Montréal Canadiens,0,20182019
New York Rangers,0,2018-10-17,2018020087,R,Washington Capitals,0,20182019
Boston Bruins,0,2018-10-17,2018020088,R,Calgary Flames,0,20182019
New York Islanders,0,2018-10-17,2018020089,R,Anaheim Ducks,0,20182019
Pittsburgh Penguins,0,2018-10-18,2018020090,R,Toronto Maple Leafs,0,20182019
Colorado Avalanche,0,2018-10-18,2018020091,R,New Jersey Devils,0,20182019
Philadelphia Flyers,0,2018-10-18,2018020092,R,Columbus Blue Jackets,0,20182019
Detroit Red Wings,0,2018-10-18,2018020093,R,Tampa Bay Lightning,0,20182019
Vancouver Canucks,0,2018-10-18,2018020094,R,Winnipeg Jets,0,20182019
Arizona Coyotes,0,2018-10-18,2018020095,R,Chicago Blackhawks,0,20182019
Boston Bruins,0,2018-10-18,2018020096,R,Edmonton Oilers,0,20182019
New York Islanders,0,2018-10-18,2018020097,R,Los Angeles Kings,0,20182019
Buffalo Sabres,0,2018-10-18,2018020098,R,San Jose Sharks,0,20182019
Florida Panthers,0,2018-10-19,2018020099,R,Washington Capitals,0,20182019
Minnesota Wild,0,2018-10-19,2018020100,R,Dallas Stars,0,20182019
Nashville Predators,0,2018-10-19,2018020101,R,Calgary Flames,0,20182019
New Jersey Devils,0,2018-10-20,2018020102,R,Philadelphia Flyers,0,20182019
Colorado Avalanche,0,2018-10-20,2018020103,R,Carolina Hurricanes,0,20182019
Buffalo Sabres,0,2018-10-20,2018020105,R,Los Angeles Kings,0,20182019
Arizona Coyotes,0,2018-10-20,2018020104,R,Winnipeg Jets,0,20182019
St. Louis Blues,0,2018-10-20,2018020106,R,Toronto Maple Leafs,0,20182019
Montréal Canadiens,0,2018-10-20,2018020107,R,Ottawa Senators,0,20182019
Detroit Red Wings,0,2018-10-20,2018020108,R,Florida Panthers,0,20182019
Chicago Blackhawks,0,2018-10-20,2018020109,R,Columbus Blue Jackets,0,20182019
Tampa Bay Lightning,0,2018-10-20,2018020110,R,Minnesota Wild,0,20182019
Nashville Predators,0,2018-10-20,2018020111,R,Edmonton Oilers,0,20182019
Boston Bruins,0,2018-10-20,2018020112,R,Vancouver Canucks,0,20182019
Anaheim Ducks,0,2018-10-20,2018020113,R,Vegas Golden Knights,0,20182019
New York Islanders,0,2018-10-20,2018020114,R,San Jose Sharks,0,20182019
Calgary Flames,0,2018-10-21,2018020115,R,New York Rangers,0,20182019
Tampa Bay Lightning,0,2018-10-21,2018020116,R,Chicago Blackhawks,0,20182019
Buffalo Sabres,0,2018-10-21,2018020117,R,Anaheim Ducks,0,20182019
Colorado Avalanche,0,2018-10-22,2018020118,R,Philadelphia Flyers,0,20182019
Carolina Hurricanes,0,2018-10-22,2018020119,R,Detroit Red Wings,0,20182019
St. Louis Blues,0,2018-10-22,2018020120,R,Winnipeg Jets,0,20182019
Washington Capitals,0,2018-10-22,2018020121,R,Vancouver Canucks,0,20182019
Florida Panthers,0,2018-10-23,2018020122,R,New York Rangers,0,20182019
Arizona Coyotes,0,2018-10-23,2018020123,R,Columbus Blue Jackets,0,20182019
Calgary Flames,0,2018-10-23,2018020124,R,Montréal Canadiens,0,20182019
Boston Bruins,0,2018-10-23,2018020125,R,Ottawa Senators,0,20182019
San Jose Sharks,0,2018-10-23,2018020126,R,Nashville Predators,0,20182019
Anaheim Ducks,0,2018-10-23,2018020127,R,Chicago Blackhawks,0,20182019
Los Angeles Kings,0,2018-10-23,2018020128,R,Dallas Stars,0,20182019
Pittsburgh Penguins,0,2018-10-23,2018020129,R,Edmonton Oilers,0,20182019
Florida Panthers,0,2018-10-24,2018020130,R,New York Islanders,0,20182019
Toronto Maple Leafs,0,2018-10-24,2018020131,R,Winnipeg Jets,0,20182019
Tampa Bay Lightning,0,2018-10-24,2018020132,R,Colorado Avalanche,0,20182019
Vancouver Canucks,0,2018-10-24,2018020133,R,Vegas Golden Knights,0,20182019
Philadelphia Flyers,0,2018-10-25,2018020134,R,Boston Bruins,0,20182019
Montréal Canadiens,0,2018-10-25,2018020135,R,Buffalo Sabres,0,20182019
Nashville Predators,0,2018-10-25,2018020136,R,New Jersey Devils,0,20182019
Columbus Blue Jackets,0,2018-10-25,2018020137,R,St. Louis Blues,0,20182019
Los Angeles Kings,0,2018-10-25,2018020138,R,Minnesota Wild,0,20182019
New York Rangers,0,2018-10-25,2018020139,R,Chicago Blackhawks,0,20182019
Anaheim Ducks,0,2018-10-25,2018020140,R,Dallas Stars,0,20182019
Pittsburgh Penguins,0,2018-10-25,2018020141,R,Calgary Flames,0,20182019
Washington Capitals,0,2018-10-25,2018020142,R,Edmonton Oilers,0,20182019
Vancouver Canucks,0,2018-10-25,2018020143,R,Arizona Coyotes,0,20182019
Tampa Bay Lightning,0,2018-10-26,2018020144,R,Vegas Golden Knights,0,20182019
Winnipeg Jets,0,2018-10-26,2018020145,R,Detroit Red Wings,0,20182019
San Jose Sharks,0,2018-10-26,2018020146,R,Carolina Hurricanes,0,20182019
Ottawa Senators,0,2018-10-26,2018020147,R,Colorado Avalanche,0,20182019
Florida Panthers,0,2018-10-27,2018020148,R,New Jersey Devils,0,20182019
New York Islanders,0,2018-10-27,2018020149,R,Philadelphia Flyers,0,20182019
Edmonton Oilers,0,2018-10-27,2018020150,R,Nashville Predators,0,20182019
Washington Capitals,0,2018-10-27,2018020151,R,Calgary Flames,0,20182019
Montréal Canadiens,0,2018-10-27,2018020152,R,Boston Bruins,0,20182019
Winnipeg Jets,0,2018-10-27,2018020153,R,Toronto Maple Leafs,0,20182019
Buffalo Sabres,0,2018-10-27,2018020154,R,Columbus Blue Jackets,0,20182019
Chicago Blackhawks,0,2018-10-27,2018020155,R,St. Louis Blues,0,20182019
Colorado Avalanche,0,2018-10-27,2018020156,R,Minnesota Wild,0,20182019
Tampa Bay Lightning,0,2018-10-27,2018020157,R,Arizona Coyotes,0,20182019
Pittsburgh Penguins,0,2018-10-27,2018020158,R,Vancouver Canucks,0,20182019
New York Rangers,0,2018-10-28,2018020159,R,Los Angeles Kings,0,20182019
Dallas Stars,0,2018-10-28,2018020160,R,Detroit Red Wings,0,20182019
New York Islanders,0,2018-10-28,2018020161,R,Carolina Hurricanes,0,20182019
Edmonton Oilers,0,2018-10-28,2018020162,R,Chicago Blackhawks,0,20182019
Ottawa Senators,0,2018-10-28,2018020163,R,Vegas Golden Knights,0,20182019
San Jose Sharks,0,2018-10-28,2018020164,R,Anaheim Ducks,0,20182019
Calgary Flames,0,2018-10-29,2018020165,R,Toronto Maple Leafs,0,20182019
Minnesota Wild,0,2018-10-29,2018020166,R,Vancouver Canucks,0,20182019
Calgary Flames,0,2018-10-30,2018020167,R,Buffalo Sabres,0,20182019
New York Islanders,0,2018-10-30,2018020168,R,Pittsburgh Penguins,0,20182019
Boston Bruins,0,2018-10-30,2018020169,R,Carolina Hurricanes,0,20182019
Detroit Red Wings,0,2018-10-30,2018020170,R,Columbus Blue Jackets,0,20182019
Dallas Stars,0,2018-10-30,2018020171,R,Montréal Canadiens,0,20182019
New Jersey Devils,0,2018-10-30,2018020172,R,Tampa Bay Lightning,0,20182019
Vegas Golden Knights,0,2018-10-30,2018020173,R,Nashville Predators,0,20182019
Minnesota Wild,0,2018-10-30,2018020174,R,Edmonton Oilers,0,20182019
Ottawa Senators,0,2018-10-30,2018020175,R,Arizona Coyotes,0,20182019
Philadelphia Flyers,0,2018-10-30,2018020176,R,Anaheim Ducks,0,20182019
New York Rangers,0,2018-10-30,2018020177,R,San Jose Sharks,0,20182019
Chicago Blackhawks,0,2018-10-31,2018020178,R,Vancouver Canucks,0,20182019
Winnipeg Jets,0,2018-11-01,2018020180,R,Florida Panthers,0,20182019
Dallas Stars,0,2018-11-01,2018020179,R,Toronto Maple Leafs,0,20182019
Pittsburgh Penguins,0,2018-11-01,2018020181,R,New York Islanders,0,20182019
Washington Capitals,0,2018-11-01,2018020182,R,Montréal Canadiens,0,20182019
Buffalo Sabres,0,2018-11-01,2018020183,R,Ottawa Senators,0,20182019
New Jersey Devils,0,2018-11-01,2018020184,R,Detroit Red Wings,0,20182019
Nashville Predators,0,2018-11-01,2018020185,R,Tampa Bay Lightning,0,20182019
Vegas Golden Knights,0,2018-11-01,2018020186,R,St. Louis Blues,0,20182019
Colorado Avalanche,0,2018-11-01,2018020187,R,Calgary Flames,0,20182019
Chicago Blackhawks,0,2018-11-01,2018020188,R,Edmonton Oilers,0,20182019
New York Rangers,0,2018-11-01,2018020189,R,Anaheim Ducks,0,20182019
Philadelphia Flyers,0,2018-11-01,2018020190,R,Los Angeles Kings,0,20182019
Columbus Blue Jackets,0,2018-11-01,2018020191,R,San Jose Sharks,0,20182019
Florida Panthers,0,2018-11-02,2018020192,R,Winnipeg Jets,0,20182019
Colorado Avalanche,0,2018-11-02,2018020193,R,Vancouver Canucks,0,20182019
Carolina Hurricanes,0,2018-11-02,2018020194,R,Arizona Coyotes,0,20182019
Ottawa Senators,0,2018-11-03,2018020195,R,Buffalo Sabres,0,20182019
Tampa Bay Lightning,0,2018-11-03,2018020196,R,Montréal Canadiens,0,20182019
Edmonton Oilers,0,2018-11-03,2018020197,R,Detroit Red Wings,0,20182019
New Jersey Devils,0,2018-11-03,2018020198,R,New York Islanders,0,20182019
Toronto Maple Leafs,0,2018-11-03,2018020199,R,Pittsburgh Penguins,0,20182019
Dallas Stars,0,2018-11-03,2018020200,R,Washington Capitals,0,20182019
Minnesota Wild,0,2018-11-03,2018020201,R,St. Louis Blues,0,20182019
Boston Bruins,0,2018-11-03,2018020202,R,Nashville Predators,0,20182019
Chicago Blackhawks,0,2018-11-03,2018020203,R,Calgary Flames,0,20182019
Carolina Hurricanes,0,2018-11-03,2018020204,R,Vegas Golden Knights,0,20182019
Columbus Blue Jackets,0,2018-11-03,2018020205,R,Los Angeles Kings,0,20182019
Philadelphia Flyers,0,2018-11-03,2018020206,R,San Jose Sharks,0,20182019
Tampa Bay Lightning,0,2018-11-04,2018020207,R,Ottawa Senators,0,20182019
Buffalo Sabres,0,2018-11-04,2018020208,R,New York Rangers,0,20182019
Columbus Blue Jackets,0,2018-11-04,2018020209,R,Anaheim Ducks,0,20182019
Dallas Stars,0,2018-11-05,2018020210,R,Boston Bruins,0,20182019
Montréal Canadiens,0,2018-11-05,2018020211,R,New York Islanders,0,20182019
New Jersey Devils,0,2018-11-05,2018020212,R,Pittsburgh Penguins,0,20182019
Edmonton Oilers,0,2018-11-05,2018020213,R,Washington Capitals,0,20182019
Philadelphia Flyers,0,2018-11-05,2018020214,R,Arizona Coyotes,0,20182019
Vegas Golden Knights,0,2018-11-06,2018020215,R,Toronto Maple Leafs,0,20182019
Montréal Canadiens,0,2018-11-06,2018020216,R,New York Rangers,0,20182019
Dallas Stars,0,2018-11-06,2018020217,R,Columbus Blue Jackets,0,20182019
New Jersey Devils,0,2018-11-06,2018020218,R,Ottawa Senators,0,20182019
Vancouver Canucks,0,2018-11-06,2018020219,R,Detroit Red Wings,0,20182019
Edmonton Oilers,0,2018-11-06,2018020220,R,Tampa Bay Lightning,0,20182019
Carolina Hurricanes,0,2018-11-06,2018020221,R,St. Louis Blues,0,20182019
Anaheim Ducks,0,2018-11-06,2018020222,R,Los Angeles Kings,0,20182019
Minnesota Wild,0,2018-11-06,2018020223,R,San Jose Sharks,0,20182019
Pittsburgh Penguins,0,2018-11-07,2018020224,R,Washington Capitals,0,20182019
Nashville Predators,0,2018-11-07,2018020225,R,Colorado Avalanche,0,20182019
